@relation traindata

@attribute att_1 numeric
@attribute att_2 numeric
@attribute att_3 numeric
@attribute att_4 numeric
@attribute att_5 numeric
@attribute att_6 numeric
@attribute att_7 numeric
@attribute att_8 numeric
@attribute att_9 numeric
@attribute att_10 numeric
@attribute att_11 numeric
@attribute att_12 numeric
@attribute att_13 numeric
@attribute class {class1,class2,class4,class5,class6,class8,class9,class10,class11,class3,class7}

@data
{0 0.0,1 3.0,2 0.0,3 -3.193,4 2.026,5 0.83,6 0.813,7 -1.205,8 0.036,9 -0.95,10 0.786,11 1.045,12 0.21,13 class7}
{0 0.0,1 3.0,2 0.0,3 -3.299,4 1.73,5 0.187,6 0.121,7 -1.251,8 0.796,9 -0.366,10 1.091,11 0.493,12 0.436,13 class9}
{0 0.0,1 3.0,2 0.0,3 -2.439,4 0.789,5 0.082,6 0.242,7 -0.693,8 0.595,9 -0.353,10 0.702,11 0.413,12 0.098,13 class11}
{0 0.0,1 3.0,2 0.0,3 -1.507,4 -0.457,5 -1.728,6 0.256,7 -0.081,8 1.571,9 0.556,10 1.291,11 0.121,12 -0.456,13 class1}
{0 0.0,1 3.0,2 0.0,3 -1.425,4 0.256,5 -1.13,6 -0.284,7 -0.394,8 1.253,9 0.306,10 0.893,11 0.272,12 -0.378,13 class2}
{0 0.0,1 3.0,2 0.0,3 -1.814,4 0.923,5 -0.931,6 0.12,7 0.425,8 0.554,9 0.237,10 0.426,11 -0.184,12 -0.727,13 class3}
{0 0.0,1 3.0,2 0.0,3 -2.007,4 1.814,5 -0.581,6 -0.027,7 0.127,8 0.081,9 0.089,10 -0.016,11 0.115,12 -0.719,13 class4}
{0 0.0,1 3.0,2 0.0,3 -2.431,4 1.873,5 0.208,6 0.123,7 -0.634,8 0.178,9 0.04,10 0.612,11 0.446,12 -0.562,13 class6}
{0 0.0,1 3.0,2 0.0,3 -3.24,4 1.749,5 0.959,6 1.071,7 -1.188,8 0.018,9 -1.024,10 0.664,11 1.007,12 0.443,13 class7}
{0 0.0,1 3.0,2 0.0,3 -3.198,4 1.373,5 0.392,6 0.423,7 -1.203,8 0.656,9 -0.428,10 0.994,11 0.576,12 0.865,13 class9}
{0 0.0,1 3.0,2 0.0,3 -2.434,4 0.87,5 0.127,6 0.224,7 -0.811,8 0.666,9 -0.233,10 0.705,11 0.408,12 0.136,13 class11}
{0 0.0,1 3.0,2 0.0,3 -1.656,4 -0.496,5 -1.719,6 0.363,7 -0.002,8 1.637,9 0.535,10 1.319,11 -0.012,12 -0.49,13 class1}
{0 0.0,1 3.0,2 0.0,3 -1.388,4 0.215,5 -1.105,6 -0.295,7 -0.39,8 1.282,9 0.356,10 0.816,11 0.292,12 -0.376,13 class2}
{0 0.0,1 3.0,2 0.0,3 -2.531,4 1.802,5 0.739,6 0.236,7 -1.169,8 -0.069,9 -0.349,10 0.903,11 0.123,12 -0.119,13 class5}
{0 0.0,1 3.0,2 0.0,3 -2.375,4 1.642,5 0.308,6 0.255,7 -0.82,8 0.225,9 -0.092,10 0.874,11 0.367,12 -0.525,13 class6}
{0 0.0,1 3.0,2 0.0,3 -3.179,4 1.346,5 0.988,6 1.32,7 -0.852,8 -0.008,9 -1.234,10 0.347,11 1.02,12 0.771,13 class7}
{0 0.0,1 3.0,2 0.0,3 -3.57,4 1.366,5 0.97,6 1.957,7 -1.262,8 0.002,9 -1.275,10 0.585,11 0.754,12 0.993,13 class8}
{0 0.0,1 3.0,2 0.0,3 -3.169,4 1.041,5 0.509,6 0.693,7 -1.185,8 0.673,9 -0.352,10 0.877,11 0.434,12 1.009,13 class9}
{0 0.0,1 3.0,2 0.0,3 -4.066,4 1.05,5 -0.049,6 0.458,7 -0.357,8 1.331,9 -0.129,10 0.848,11 0.509,12 0.317,13 class10}
{0 0.0,1 3.0,2 0.0,3 -2.483,4 0.81,5 0.185,6 0.284,7 -0.917,8 0.73,9 -0.111,10 0.613,11 0.373,12 0.184,13 class11}
{0 0.0,1 3.0,2 0.0,3 -1.79,4 0.793,5 -1.041,6 0.214,7 0.215,8 0.694,9 0.121,10 0.583,11 -0.403,12 -0.487,13 class3}
{0 0.0,1 3.0,2 0.0,3 -2.089,4 1.695,5 -0.528,6 -0.232,7 0.385,8 -0.137,9 0.033,10 0.071,11 0.033,12 -0.744,13 class4}
{0 0.0,1 3.0,2 0.0,3 -2.475,4 1.498,5 0.864,6 0.397,7 -1.17,8 -0.234,9 -0.388,10 0.825,11 0.16,12 0.057,13 class5}
{0 0.0,1 3.0,2 0.0,3 -2.314,4 1.494,5 0.294,6 0.245,7 -0.769,8 0.05,9 -0.068,10 0.819,11 0.618,12 -0.572,13 class6}
{0 0.0,1 3.0,2 0.0,3 -3.155,4 1.021,5 0.455,6 0.624,7 -1.306,8 0.842,9 -0.123,10 0.909,11 0.328,12 0.876,13 class9}
{0 0.0,1 3.0,2 0.0,3 -4.316,4 1.147,5 0.088,6 0.593,7 -0.314,8 1.316,9 -0.255,10 0.761,11 0.492,12 0.133,13 class10}
{0 0.0,1 3.0,2 0.0,3 -1.495,4 0.117,5 -1.134,6 -0.249,7 -0.37,8 1.286,9 0.348,10 0.854,11 0.313,12 -0.376,13 class2}
{0 0.0,1 3.0,2 0.0,3 -1.921,4 0.719,5 -0.95,6 0.299,7 0.222,8 0.786,9 0.128,10 0.588,11 -0.462,12 -0.491,13 class3}
{0 0.0,1 3.0,2 0.0,3 -2.507,4 1.528,5 0.852,6 0.331,7 -1.231,8 -0.259,9 -0.265,10 0.856,11 0.07,12 0.069,13 class5}
{0 0.0,1 3.0,2 0.0,3 -2.291,4 1.146,5 0.352,6 0.354,7 -0.714,8 0.08,9 -0.181,10 0.787,11 0.709,12 -0.409,13 class6}
{0 0.0,1 3.0,2 0.0,3 -3.145,4 0.863,5 0.416,6 0.699,7 -1.378,8 0.892,9 0.02,10 0.89,11 0.221,12 0.834,13 class9}
{0 0.0,1 3.0,2 0.0,3 -2.704,4 0.917,5 0.267,6 0.314,7 -0.756,8 0.818,9 -0.114,10 0.673,11 0.261,12 0.056,13 class11}
{0 0.0,1 3.0,2 0.0,3 -1.537,4 0.043,5 -1.125,6 -0.213,7 -0.378,8 1.265,9 0.33,10 0.87,11 0.293,12 -0.393,13 class2}
{0 0.0,1 3.0,2 0.0,3 -1.933,4 0.728,5 -1.015,6 0.27,7 0.199,8 0.78,9 0.192,10 0.706,11 -0.446,12 -0.595,13 class3}
{0 0.0,1 3.0,2 0.0,3 -2.076,4 1.413,5 -0.584,6 0.19,7 -0.35,8 0.518,9 -0.406,10 0.313,11 0.027,12 -0.724,13 class4}
{0 0.0,1 3.0,2 0.0,3 -2.554,4 1.532,5 0.812,6 0.367,7 -1.208,8 -0.352,9 -0.252,10 0.894,11 0.05,12 0.084,13 class5}
{0 0.0,1 3.0,2 0.0,3 -2.343,4 0.788,5 0.373,6 0.492,7 -0.667,8 0.279,9 -0.24,10 0.827,11 0.589,12 -0.267,13 class6}
{0 0.0,1 3.0,2 0.0,3 -2.834,4 0.654,5 0.733,6 1.434,7 -0.716,8 -0.028,9 -0.841,10 0.239,11 0.92,12 0.885,13 class7}
{0 0.0,1 3.0,2 0.0,3 -3.482,4 1.127,5 0.899,6 1.993,7 -1.385,8 -0.05,9 -1.273,10 0.647,11 0.844,12 1.044,13 class8}
{0 0.0,1 3.0,2 0.0,3 -3.246,4 0.712,5 0.39,6 0.82,7 -1.352,8 1.074,9 0.197,10 0.857,11 -0.056,12 0.485,13 class9}
{0 0.0,1 3.0,2 0.0,3 -4.521,4 1.43,5 0.162,6 0.58,7 -0.351,8 1.339,9 -0.259,10 0.81,11 0.431,12 -0.102,13 class10}
{0 0.0,1 4.0,2 1.0,3 -3.118,4 0.356,5 0.377,6 1.447,7 0.868,8 0.407,9 -0.915,10 -0.546,11 -0.637,12 0.169,13 class2}
{0 0.0,1 4.0,2 1.0,3 -2.611,4 0.434,5 0.231,6 1.343,7 0.323,8 -0.378,9 -0.618,10 -0.219,11 -0.285,12 0.347,13 class3}
{0 0.0,1 4.0,2 1.0,3 -1.566,4 0.93,5 -0.181,6 -0.155,7 -0.164,8 -0.277,9 0.144,10 -0.047,11 -0.694,12 0.282,13 class4}
{0 0.0,1 4.0,2 1.0,3 -3.533,4 2.319,5 1.085,6 0.247,7 -1.053,8 -0.429,9 -0.026,10 1.305,11 -0.243,12 -0.671,13 class7}
{0 0.0,1 4.0,2 1.0,3 -3.893,4 3.69,5 0.079,6 -0.151,7 -1.093,8 -0.518,9 0.198,10 1.583,11 -0.257,12 -0.169,13 class8}
{0 0.0,1 4.0,2 1.0,3 -4.16,4 2.814,5 0.557,6 0.604,7 0.584,8 0.477,9 -0.272,10 0.784,11 -0.999,12 -0.781,13 class10}
{0 0.0,1 4.0,2 1.0,3 -3.162,4 -1.137,5 0.3,6 1.44,7 0.688,8 1.645,9 -0.447,10 -0.518,11 -0.52,12 0.641,13 class1}
{0 0.0,1 4.0,2 1.0,3 -3.224,4 0.487,5 0.822,6 1.324,7 0.753,8 0.352,9 -0.976,10 -0.562,11 -0.489,12 0.172,13 class2}
{0 0.0,1 4.0,2 1.0,3 -2.861,4 2.091,5 -0.411,6 -0.438,7 -0.643,8 0.317,9 0.817,10 0.104,11 -0.481,12 -0.252,13 class5}
{0 0.0,1 4.0,2 1.0,3 -2.445,4 1.503,5 -0.677,6 -0.46,7 -0.14,8 -0.002,9 1.014,10 0.061,11 -0.599,12 0.175,13 class6}
{0 0.0,1 4.0,2 1.0,3 -3.958,4 3.922,5 0.15,6 -0.265,7 -1.201,8 -0.249,9 0.202,10 1.163,11 -0.049,12 -0.039,13 class8}
{0 0.0,1 4.0,2 1.0,3 -4.071,4 2.754,5 -0.232,6 -0.262,7 0.356,8 0.694,9 0.381,10 0.5,11 -0.721,12 -0.859,13 class9}
{0 0.0,1 4.0,2 1.0,3 -4.188,4 2.637,5 0.502,6 0.552,7 0.735,8 0.395,9 -0.026,10 0.803,11 -0.874,12 -0.913,13 class10}
{0 0.0,1 4.0,2 1.0,3 -2.923,4 0.919,5 -0.231,6 -0.307,7 0.075,8 0.265,9 0.403,10 0.691,11 -1.012,12 -0.157,13 class11}
{0 0.0,1 4.0,2 1.0,3 -3.128,4 0.28,5 0.955,6 1.264,7 0.753,8 0.437,9 -0.841,10 -0.517,11 -0.473,12 0.0,13 class2}
{0 0.0,1 4.0,2 1.0,3 -2.555,4 1.421,5 -0.8,6 -0.233,7 -0.078,8 0.244,9 0.771,10 -0.112,11 -0.707,12 0.165,13 class6}
{0 0.0,1 4.0,2 1.0,3 -4.067,4 3.908,5 -0.065,6 -0.378,7 -1.163,8 0.065,9 0.508,10 1.003,11 0.03,12 -0.187,13 class8}
{0 0.0,1 4.0,2 1.0,3 -4.068,4 2.566,5 -0.068,6 -0.152,7 0.126,8 0.548,9 0.453,10 0.577,11 -0.543,12 -0.896,13 class9}
{0 0.0,1 4.0,2 1.0,3 -3.02,4 1.033,5 -0.238,6 -0.286,7 0.088,8 0.235,9 0.372,10 0.563,11 -1.027,12 -0.151,13 class11}
{0 0.0,1 4.0,2 1.0,3 -3.485,4 -0.86,5 0.582,6 1.501,7 0.578,8 1.48,9 -0.663,10 -0.602,11 -0.318,12 0.575,13 class1}
{0 0.0,1 4.0,2 1.0,3 -2.837,4 0.528,5 0.241,6 1.629,7 0.23,8 -0.545,9 -0.643,10 -0.231,11 -0.186,12 0.45,13 class3}
{0 0.0,1 4.0,2 1.0,3 -3.587,4 3.128,5 0.885,6 -0.188,7 -1.164,8 -0.215,9 0.051,10 1.344,11 -0.641,12 -0.253,13 class7}
{0 0.0,1 4.0,2 1.0,3 -4.087,4 2.555,5 0.123,6 -0.151,7 0.118,8 0.474,9 0.365,10 0.495,11 -0.473,12 -0.886,13 class9}
{0 0.0,1 4.0,2 1.0,3 -4.442,4 2.607,5 0.596,6 0.191,7 0.636,8 0.679,9 -0.14,10 0.774,11 -0.828,12 -1.122,13 class10}
{0 0.0,1 4.0,2 1.0,3 -2.976,4 1.033,5 -0.222,6 -0.099,7 0.081,8 0.052,9 0.479,10 0.517,11 -1.105,12 -0.125,13 class11}
{0 0.0,1 4.0,2 1.0,3 -3.689,4 -0.599,5 0.692,6 1.307,7 0.605,8 1.514,9 -0.752,10 -0.697,11 -0.355,12 0.702,13 class1}
{0 0.0,1 4.0,2 1.0,3 -3.278,4 0.324,5 1.047,6 1.152,7 0.725,8 0.168,9 -0.839,10 -0.381,11 -0.687,12 0.013,13 class2}
{0 0.0,1 4.0,2 1.0,3 -1.596,4 0.885,5 -0.199,6 0.199,7 -0.115,8 -0.474,9 0.428,10 -0.113,11 -0.61,12 0.131,13 class4}
{0 0.0,1 4.0,2 1.0,3 -2.986,4 2.072,5 -0.311,6 -0.083,7 -0.878,8 0.449,9 0.916,10 0.082,11 -0.905,12 -0.109,13 class5}
{0 0.0,1 4.0,2 1.0,3 -4.497,4 3.018,5 0.609,6 0.115,7 0.673,8 0.709,9 -0.03,10 0.861,11 -0.704,12 -1.038,13 class10}
{0 0.0,1 4.0,2 1.0,3 -3.693,4 -0.568,5 0.727,6 1.236,7 0.612,8 1.502,9 -0.804,10 -0.763,11 -0.346,12 0.788,13 class1}
{0 0.0,1 4.0,2 1.0,3 -3.543,4 0.624,5 0.674,6 1.413,7 0.653,8 -0.445,9 -0.803,10 -0.256,11 -0.65,12 0.423,13 class2}
{0 0.0,1 4.0,2 1.0,3 -3.253,4 1.025,5 -0.286,6 0.713,7 -0.036,8 0.539,9 0.476,10 -0.116,11 -0.945,12 -0.108,13 class6}
{0 0.0,1 4.0,2 1.0,3 -3.661,4 3.266,5 -0.117,6 -0.237,7 -0.755,8 0.092,9 0.686,10 0.381,11 -0.58,12 -0.687,13 class7}
{0 0.0,1 4.0,2 1.0,3 -4.216,4 3.638,5 0.192,6 -0.023,7 -1.231,8 -0.32,9 0.128,10 1.03,11 0.061,12 -0.179,13 class8}
{0 0.0,1 4.0,2 1.0,3 -4.544,4 3.046,5 1.028,6 -0.016,7 0.447,8 0.884,9 -0.094,10 0.885,11 -0.459,12 -1.099,13 class10}
{0 0.0,1 4.0,2 1.0,3 -2.711,4 0.971,5 -0.023,6 0.053,7 0.101,8 -0.148,9 0.382,10 0.476,11 -1.05,12 -0.256,13 class11}
{0 0.0,1 5.0,2 1.0,3 -3.322,4 -0.303,5 -0.5,6 0.963,7 0.921,8 0.981,9 1.059,10 -1.079,11 -1.004,12 0.112,13 class1}
{0 0.0,1 5.0,2 1.0,3 -2.493,4 1.382,5 -0.929,6 0.465,7 -0.369,8 0.002,9 0.187,10 -0.696,11 -0.31,12 0.348,13 class4}
{0 0.0,1 5.0,2 1.0,3 -2.905,4 2.311,5 -0.658,6 0.022,7 -1.121,8 0.25,9 0.467,10 0.484,11 -0.157,12 -0.676,13 class5}
{0 0.0,1 5.0,2 1.0,3 -2.685,4 1.971,5 -0.857,6 0.033,7 -0.638,8 0.484,9 0.143,10 0.159,11 -0.218,12 -0.343,13 class6}
{0 0.0,1 5.0,2 1.0,3 -4.243,4 3.354,5 -0.415,6 0.898,7 -1.027,8 -0.281,9 0.576,10 0.48,11 0.564,12 -0.085,13 class8}
{0 0.0,1 5.0,2 1.0,3 -3.741,4 2.7,5 -1.593,6 0.782,7 -0.298,8 1.378,9 0.184,10 1.458,11 -0.134,12 -1.297,13 class9}
{0 0.0,1 5.0,2 1.0,3 -3.268,4 -0.079,5 -0.693,6 0.763,7 1.043,8 1.194,9 0.892,10 -1.293,11 -1.033,12 0.199,13 class1}
{0 0.0,1 5.0,2 1.0,3 -3.618,4 0.916,5 -0.4,6 1.771,7 0.666,8 1.535,9 -0.389,10 -0.342,11 -1.279,12 -0.109,13 class2}
{0 0.0,1 5.0,2 1.0,3 -2.515,4 1.34,5 -0.84,6 0.511,7 -0.492,8 0.098,9 0.047,10 -0.68,11 -0.283,12 0.168,13 class4}
{0 0.0,1 5.0,2 1.0,3 -2.882,4 2.165,5 -0.589,6 0.173,7 -1.165,8 0.014,9 0.571,10 0.502,11 -0.093,12 -0.616,13 class5}
{0 0.0,1 5.0,2 1.0,3 -2.591,4 1.809,5 -0.659,6 -0.016,7 -0.673,8 0.588,9 0.084,10 0.182,11 -0.094,12 -0.372,13 class6}
{0 0.0,1 5.0,2 1.0,3 -3.901,4 2.485,5 -0.95,6 0.702,7 -0.47,8 1.146,9 -0.109,10 1.597,11 0.146,12 -1.197,13 class9}
{0 0.0,1 5.0,2 1.0,3 -3.0,4 1.524,5 -0.866,6 1.015,7 -0.4,8 0.861,9 0.174,10 0.938,11 -0.216,12 -1.01,13 class11}
{0 0.0,1 5.0,2 1.0,3 -2.875,4 0.868,5 -0.728,6 1.439,7 0.355,8 0.846,9 -0.378,10 -0.233,11 -1.072,12 0.505,13 class3}
{0 0.0,1 5.0,2 1.0,3 -2.612,4 1.403,5 -0.87,6 0.47,7 -0.448,8 0.172,9 -0.06,10 -0.656,11 -0.334,12 0.087,13 class4}
{0 0.0,1 5.0,2 1.0,3 -2.859,4 2.255,5 -0.676,6 0.098,7 -1.086,8 0.041,9 0.732,10 0.305,11 -0.141,12 -0.636,13 class5}
{0 0.0,1 5.0,2 1.0,3 -2.497,4 1.692,5 -0.607,6 0.02,7 -0.71,8 0.612,9 0.093,10 0.272,11 -0.06,12 -0.507,13 class6}
{0 0.0,1 5.0,2 1.0,3 -3.236,4 2.745,5 -0.806,6 -0.2,7 -0.386,8 0.358,9 0.889,10 0.516,11 -0.297,12 -1.075,13 class7}
{0 0.0,1 5.0,2 1.0,3 -4.188,4 3.229,5 -0.456,6 1.077,7 -1.385,8 -0.104,9 0.459,10 0.558,11 0.701,12 -0.32,13 class8}
{0 0.0,1 5.0,2 1.0,3 -4.744,4 3.385,5 -0.886,6 0.571,7 0.235,8 0.183,9 0.357,10 0.04,11 0.203,12 -1.68,13 class10}
{0 0.0,1 5.0,2 1.0,3 -3.046,4 1.462,5 -0.823,6 0.935,7 -0.44,8 0.849,9 0.085,10 0.865,11 -0.178,12 -0.954,13 class11}
{0 0.0,1 5.0,2 1.0,3 -3.086,4 1.01,5 -0.627,6 1.508,7 0.338,8 0.747,9 -0.479,10 -0.323,11 -1.087,12 0.645,13 class3}
{0 0.0,1 5.0,2 1.0,3 -2.75,4 1.475,5 -0.848,6 0.364,7 -0.275,8 0.02,9 -0.003,10 -0.782,11 -0.291,12 0.167,13 class4}
{0 0.0,1 5.0,2 1.0,3 -2.846,4 2.43,5 -0.78,6 -0.153,7 -0.905,8 0.24,9 0.746,10 0.14,11 -0.114,12 -0.746,13 class5}
{0 0.0,1 5.0,2 1.0,3 -4.175,4 3.32,5 -0.446,6 0.988,7 -1.48,8 0.133,9 0.507,10 0.605,11 0.691,12 -0.462,13 class8}
{0 0.0,1 5.0,2 1.0,3 -4.788,4 3.632,5 -0.71,6 0.3,7 0.366,8 -0.121,9 0.403,10 -0.016,11 0.124,12 -1.32,13 class10}
{0 0.0,1 5.0,2 1.0,3 -3.006,4 1.407,5 -0.875,6 0.945,7 -0.495,8 0.721,9 0.212,10 0.75,11 -0.037,12 -1.054,13 class11}
{0 0.0,1 5.0,2 1.0,3 -3.394,4 0.557,5 -0.573,6 1.704,7 0.608,8 1.644,9 0.109,10 0.2,11 -1.507,12 -0.225,13 class2}
{0 0.0,1 5.0,2 1.0,3 -2.884,4 2.424,5 -0.764,6 -0.108,7 -1.015,8 0.361,9 0.712,10 0.133,11 -0.017,12 -0.847,13 class5}
{0 0.0,1 5.0,2 1.0,3 -2.656,4 1.263,5 -0.527,6 0.464,7 -0.612,8 0.668,9 -0.16,10 0.857,11 -0.416,12 -0.596,13 class6}
{0 0.0,1 5.0,2 1.0,3 -3.862,4 1.801,5 -0.717,6 1.133,7 -0.23,8 0.922,9 -0.223,10 1.264,11 0.194,12 -0.935,13 class9}
{0 0.0,1 5.0,2 1.0,3 -4.836,4 3.871,5 -0.684,6 0.182,7 0.349,8 -0.176,9 0.317,10 0.059,11 -0.024,12 -1.13,13 class10}
{0 0.0,1 5.0,2 1.0,3 -2.973,4 1.304,5 -0.849,6 0.984,7 -0.508,8 0.59,9 0.248,10 0.728,11 0.073,12 -1.107,13 class11}
{0 0.0,1 5.0,2 1.0,3 -3.858,4 0.115,5 0.05,6 1.17,7 0.975,8 0.703,9 0.585,10 -1.191,11 -1.172,12 -0.076,13 class1}
{0 0.0,1 5.0,2 1.0,3 -3.404,4 0.506,5 -0.591,6 1.627,7 0.66,8 1.456,9 0.068,10 0.381,11 -1.494,12 -0.453,13 class2}
{0 0.0,1 5.0,2 1.0,3 -2.952,4 0.777,5 -0.74,6 1.311,7 0.424,8 0.853,9 -0.319,10 -0.082,11 -1.456,12 0.616,13 class3}
{0 0.0,1 5.0,2 1.0,3 -3.005,4 1.472,5 -0.716,6 0.535,7 -0.392,8 0.054,9 -0.054,10 -0.686,11 -0.29,12 0.153,13 class4}
{0 0.0,1 5.0,2 1.0,3 -2.898,4 2.421,5 -0.81,6 -0.043,7 -1.164,8 0.448,9 0.69,10 0.218,11 -0.078,12 -0.876,13 class5}
{0 0.0,1 5.0,2 1.0,3 -3.462,4 2.648,5 -0.447,6 -0.0,7 -0.416,8 0.767,9 0.569,10 -0.072,11 -0.08,12 -0.798,13 class7}
{0 0.0,1 5.0,2 1.0,3 -3.846,4 1.426,5 -0.607,6 1.434,7 -0.072,8 1.13,9 -0.535,10 1.159,11 -0.123,12 -0.385,13 class9}
{0 0.0,1 5.0,2 1.0,3 -4.885,4 3.967,5 -0.948,6 0.373,7 0.255,8 -0.121,9 0.43,10 -0.013,11 0.018,12 -1.518,13 class10}
{0 0.0,1 6.0,2 1.0,3 -2.569,4 -0.11,5 -0.841,6 0.732,7 1.112,8 0.961,9 -0.075,10 0.148,11 -0.893,12 0.314,13 class2}
{0 0.0,1 6.0,2 1.0,3 -2.488,4 2.822,5 -0.239,6 -0.33,7 -1.355,8 0.284,9 0.101,10 0.934,11 -0.966,12 -0.31,13 class5}
{0 0.0,1 6.0,2 1.0,3 -2.335,4 2.896,5 -0.295,6 -0.42,7 -0.645,8 0.351,9 0.12,10 0.447,11 -1.126,12 0.11,13 class6}
{0 0.0,1 6.0,2 1.0,3 -2.715,4 2.325,5 0.701,6 0.239,7 -1.426,8 -0.218,9 -0.317,10 1.516,11 -0.162,12 -0.703,13 class7}
{0 0.0,1 6.0,2 1.0,3 -3.984,4 2.29,5 -0.103,6 -0.707,7 0.297,8 0.317,9 0.857,10 1.403,11 -1.253,12 -0.298,13 class9}
{0 0.0,1 6.0,2 1.0,3 -2.528,4 1.288,5 -0.144,6 -0.171,7 -0.077,8 0.26,9 -0.045,10 0.681,11 -1.399,12 -0.066,13 class11}
{0 0.0,1 6.0,2 1.0,3 -3.431,4 -0.5,5 -0.362,6 1.173,7 1.59,8 0.956,9 0.162,10 -0.853,11 -0.364,12 0.084,13 class1}
{0 0.0,1 6.0,2 1.0,3 -1.926,4 2.172,5 -0.571,6 0.257,7 -0.159,8 -0.493,9 0.27,10 -0.153,11 -0.673,12 -0.005,13 class4}
{0 0.0,1 6.0,2 1.0,3 -2.512,4 2.826,5 -0.171,6 -0.385,7 -1.495,8 0.381,9 0.067,10 0.899,11 -0.902,12 -0.412,13 class5}
{0 0.0,1 6.0,2 1.0,3 -2.353,4 2.897,5 -0.433,6 -0.193,7 -0.715,8 0.359,9 0.26,10 0.273,11 -1.206,12 0.36,13 class6}
{0 0.0,1 6.0,2 1.0,3 -2.708,4 2.396,5 0.728,6 0.336,7 -1.437,8 -0.344,9 -0.411,10 1.469,11 -0.022,12 -0.717,13 class7}
{0 0.0,1 6.0,2 1.0,3 -4.045,4 2.193,5 0.2,6 -0.745,7 0.215,8 0.387,9 0.625,10 1.477,11 -1.207,12 -0.27,13 class9}
{0 0.0,1 6.0,2 1.0,3 -5.02,4 2.551,5 0.562,6 -0.136,7 0.531,8 -0.064,9 0.373,10 0.631,11 -1.407,12 -0.267,13 class10}
{0 0.0,1 6.0,2 1.0,3 -2.665,4 1.633,5 -0.384,6 -0.111,7 -0.001,8 0.234,9 0.033,10 0.478,11 -1.558,12 0.219,13 class11}
{0 0.0,1 6.0,2 1.0,3 -3.586,4 -0.38,5 -0.359,6 1.307,7 1.587,8 0.99,9 0.18,10 -0.831,11 -0.471,12 0.198,13 class1}
{0 0.0,1 6.0,2 1.0,3 -2.889,4 -0.039,5 -0.494,6 0.719,7 1.104,8 1.003,9 -0.415,10 0.097,11 -0.855,12 0.356,13 class2}
{0 0.0,1 6.0,2 1.0,3 -2.282,4 0.673,5 -0.798,6 1.286,7 0.308,8 0.01,9 -0.411,10 -0.61,11 -0.266,12 0.584,13 class3}
{0 0.0,1 6.0,2 1.0,3 -1.985,4 2.161,5 -0.601,6 0.424,7 -0.295,8 -0.489,9 0.208,10 -0.216,11 -0.562,12 0.079,13 class4}
{0 0.0,1 6.0,2 1.0,3 -2.776,4 2.563,5 0.532,6 0.277,7 -1.47,8 -0.368,9 -0.278,10 1.479,11 -0.164,12 -0.797,13 class7}
{0 0.0,1 6.0,2 1.0,3 -4.384,4 3.721,5 -0.905,6 -0.965,7 -0.16,8 0.498,9 0.809,10 0.66,11 -0.613,12 -0.831,13 class8}
{0 0.0,1 6.0,2 1.0,3 -4.107,4 2.17,5 0.206,6 -0.811,7 0.334,8 0.633,9 0.402,10 1.097,11 -1.327,12 -0.04,13 class9}
{0 0.0,1 6.0,2 1.0,3 -2.812,4 1.954,5 -0.661,6 0.109,7 -0.011,8 0.11,9 0.187,10 0.096,11 -1.538,12 0.592,13 class11}
{0 0.0,1 6.0,2 1.0,3 -3.152,4 0.086,5 -0.325,6 0.868,7 1.084,8 0.753,9 -0.522,10 -0.005,11 -0.821,12 0.483,13 class2}
{0 0.0,1 6.0,2 1.0,3 -2.558,4 0.755,5 -0.66,6 1.366,7 0.038,8 -0.011,9 -0.443,10 -0.531,11 -0.062,12 0.418,13 class3}
{0 0.0,1 6.0,2 1.0,3 -2.521,4 2.271,5 -0.277,6 0.27,7 -0.909,8 0.274,9 0.348,10 -0.028,11 -1.177,12 0.432,13 class6}
{0 0.0,1 6.0,2 1.0,3 -2.922,4 2.621,5 0.214,6 0.122,7 -1.477,8 -0.173,9 0.045,10 1.38,11 -0.635,12 -0.757,13 class7}
{0 0.0,1 6.0,2 1.0,3 -4.417,4 3.765,5 -1.225,6 -0.853,7 0.041,8 0.536,9 0.885,10 0.533,11 -0.757,12 -0.789,13 class8}
{0 0.0,1 6.0,2 1.0,3 -5.08,4 2.241,5 0.971,6 -0.374,7 0.501,8 0.226,9 0.144,10 0.851,11 -1.319,12 -0.3,13 class10}
{0 0.0,1 6.0,2 1.0,3 -2.93,4 2.014,5 -0.7,6 0.206,7 -0.088,8 0.153,9 0.142,10 -0.031,11 -1.437,12 0.615,13 class11}
{0 0.0,1 6.0,2 1.0,3 -4.247,4 -0.034,5 0.248,6 1.372,7 1.831,8 1.167,9 0.087,10 -0.518,11 -0.316,12 0.347,13 class1}
{0 0.0,1 6.0,2 1.0,3 -3.183,4 0.154,5 -0.413,6 0.923,7 1.091,8 0.582,9 -0.447,10 -0.085,11 -0.904,12 0.693,13 class2}
{0 0.0,1 6.0,2 1.0,3 -2.514,4 0.558,5 -0.777,6 1.299,7 0.027,8 0.247,9 -0.487,10 -0.653,11 -0.028,12 0.481,13 class3}
{0 0.0,1 6.0,2 1.0,3 -2.041,4 2.119,5 -0.585,6 0.549,7 -0.43,8 -0.291,9 -0.002,10 -0.234,11 -0.751,12 0.253,13 class4}
{0 0.0,1 6.0,2 1.0,3 -2.64,4 2.704,5 -0.345,6 -0.23,7 -1.649,8 0.064,9 0.275,10 0.952,11 -0.651,12 -0.571,13 class5}
